PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
196,B1102,2697075,IR10N285,IR 85649-17-1-2-2,IR05N334/IR 72225-20-3-2-3,B3361,1,5,3,20130608,88,118,120,20,10.4,2777,,3188,2893,,,5,1,4,1,5,09-Oct,shb
438,B1381,2697068,IR10N286,IR 85649-28-1-3-3,IR05N334/IR 72225-20-3-2-3,B3362,1,7,58,20130608,88,118,122,17,10.5,2880,,2760,2997,9,S,3,9,4,1,5,11-Oct,shb
351,B1382,2697046,IR10N289,IR 85649-118-2-1-1,IR05N334/IR 72225-20-3-2-3,B3611,1,10,54,20130608,90,120,141,18,10.4,2680,,2336,2792,7,S,5,9,1,1,5,17-Oct,shb
226,B1103,2697035,IR10N290,IR 85650-11-2-3-3,IR05N341/IR 64680-81-2-2-1-3,B3363,1,4,28,20130608,86,116,121,17,11,2761,,2661,2857,7,,7,1,0,1,7,30-Sep,shb
456,B1383,2697033,IR10N291,IR 85650-30-3-1-2,IR05N341/IR 64680-81-2-2-1-3,B3612,1,7,40,20130608,93,123,132,16,10,2283,,2979,2389,5,S,5,7,4,1,5,14-Oct,shb
342,B1384,2697027,IR10N292,IR 85650-42-1-3-2,IR05N341/IR 64680-81-2-2-1-3,B3613,1,10,45,20130608,92,122,137,14,11.1,2550,,2498,2636,9,S,5,5,4,1,05-Mar,17-Oct,"shb, long pan"
444,B1385,2696999,IR10N294,IR 85650-123-3-1-3,IR05N341/IR 64680-81-2-2-1-3,B3614,1,7,52,20130608,91,121,144,18,10.3,2007,,2353,2093,7,S,5,5,4,1,7,17-Oct,shb
443,B1386,2696858,IR10N303,IR 85811-49-4-2-3,IR 72906-32-1-3-3/IR02N139//PSB RC 64 (IR 59552-21-3-2-2),B3615,1,7,53,20130608,98,128,131,21,11.8,1365,,2705,1400,9,S,5,5,3,1,7,10-Oct,shb
559,B1387,2696855,IR10N304,IR 85811-57-3-1-3,IR 72906-32-1-3-3/IR02N139//PSB RC 64 (IR 59552-21-3-2-2),B3616,1,4,64,20130608,93,123,121,13,10,2523,,2243,2640,,,5,5,0,1,3,14-Oct,ShB
449,B1552,2696828,IR10N305,IR 85820-92-3-2-3,IR01A154/IR01N194//IR 59682-132-1-1-2 (PSB RC 52),B3364,1,7,47,20130608,87,117,138,21,10.1,3213,,2073,3359,5,S,3,9,0,1,5,09-Oct,shb
585,B1552,2696828,IR10N305,IR 85820-92-3-2-3,IR01A154/IR01N194//IR 59682-132-1-1-2 (PSB RC 52),B3364,2,3,43,20130608,89,119,133,16,11.2,2864,,,2957,7,S,,,,1,7,14-Oct,
