Env,Gen,Blk,YLD1
ENV1,BR 29,1,7834
ENV1,IR 93683-20-3-3-3-2,1,7836
ENV1,IR13A504,1,7838
ENV1,IRRI 167,1,7842
ENV1,IR 103806:222-B RGA,1,7847
ENV1,IR13A308,1,7848
ENV1,IR 96873-43-2-1,1,7848
ENV1,IR 48,2,7848
ENV1,IR 103806:136-B RGA,1,7849
ENV1,IR09A228,1,7853
ENV1,IR09N276,2,7855
ENV1,IRRI 143,1,7857
ENV1,IR 103806:185-B RGA,1,7859
ENV1,IR 103806:207-B RGA,1,7860
ENV1,IRRI 165,4,7861
ENV1,IR04A212,1,7861
ENV1,IR09A200,1,7862
ENV1,IR13A381,1,7867
ENV1,IR08N165,1,7868
ENV1,CIHERANG-SUB1,2,7878
ENV1,IR 96830-34-2-1,1,7880
ENV1,IR10N290,2,7881
ENV1,IR 65600-81-5-3-2,1,7886
ENV1,IR08M114,1,7887
ENV1,IR 103806:240-B RGA,1,7887
ENV1,INIA TACUARI,1,7889
ENV1,IR10N251,1,7889
ENV1,IR 103806:277-B RGA,1,7890
ENV1,IR10N286,2,7891
ENV1,IR 93693-66-3-3-2-B,1,7891
ENV1,IR 93686-114-3-3-2-B,1,7896
ENV1,IR10N226,2,7899
ENV1,IR 103806:191-B RGA,1,7900
ENV1,IR 103806:247-B RGA,1,7903
ENV1,IR 65482-4-136,2,7904
ENV1,IR08N158,2,7904
ENV1,IR06N156,1,7904
ENV1,IR 95511-57-3-3-2,1,7905
ENV1,IR10A155,1,7906
ENV1,IR 64-SUB1,4,7909
ENV1,IR13A116,1,7911
ENV1,IR 93339:39-B-6-5-B-B-B-32,1,7912
ENV1,IR06M125,1,7914
ENV1,IR09N247,2,7916
ENV1,IR 103806:105-B RGA,1,7917
ENV1,IR 103806:256-B RGA,1,7919
ENV1,IR 26,2,7920
ENV1,IR06N120,1,7921
ENV1,IR 110630-B-B-B-9-2,1,7921
ENV1,IR 93684-125-2-1-3-3,1,7924
ENV1,IR 96831-35-1-2,1,7925
ENV1,IR03A550,2,7928
ENV1,IR BB 60,1,7930
ENV1,IRRI 116,1,7932
ENV1,IR13N165,1,7932
ENV1,IR03A159,1,7934
ENV1,IR13A227,1,7935
ENV1,IR 103806:306-B RGA,1,7935
ENV1,IR13N200,1,7936
ENV1,IR10N114,1,7938
ENV1,IRRI 147,1,7938
ENV1,IR09N276,1,7939
ENV1,IR 96831-35-1-1,1,7940
ENV1,IR13A136,1,7942
ENV1,IR 103806-507-B RGA,1,7942
ENV1,IR 93339:11-B-23-16-B-B-B-26,1,7944
ENV1,IR10A155,2,7948
ENV1,IR 93653-44-3-3-2-3,1,7949
ENV1,IR13N201,1,7952
ENV1,IR12A117,1,7952
ENV1,IRRI 146,2,7953
ENV1,IR 93599-37-1-2-1-3,1,7955
ENV1,IR 103806:171-B RGA,1,7956
ENV1,IR09N523,1,7958
ENV1,IR 93680-98-3-3-2-2,1,7959
ENV1,IR13N148,1,7960
ENV1,IR07A107,1,7960
ENV1,IR03N137,1,7961
ENV1,IR10N290,1,7961
ENV1,IR 110611-B-B-B-19-1,1,7961
ENV1,IR 110619-B-B-B-1-1,1,7964
ENV1,IR 93336:10-B-18-15-B-B-B-11,1,7969
ENV1,IR 103806-541-B RGA,1,7970
ENV1,IR10N208,1,7970
ENV1,IR13A432,1,7981
ENV1,IR10N130,1,7982
ENV1,IR12A169,1,7982
ENV1,IR 68,1,7984
ENV1,IR 103806:37-B RGA,1,7985
ENV1,IR 64-SUB1,1,7988
ENV1,IR 110630-B-B-B-10-1,1,7994
ENV1,IR05N168,1,7995
ENV1,IR10M136,1,7997
