GID,ENTRY!,DESIGNATION,PARENTS,ENTRYNO,PLOT,SOURCE,MATGP!,REP!,ROW,COLUMN,FLW,MATURITY,PLTHGT,TILLER,14MC,PLOTYIELD,MISSHILL,CPY,GRNYLD(Y/ha),BLAST,BB1,BPH,GLH,HARVESTDATE
1253961,IR04A428,IR 78585-64-2-4-3,IR 73718-1-2-1-3/IRRI 104,A3455,541,A3002,2,1,2,35,91,121,112,14,12.4,6810,,,9176,3,1,3,5,2013-04-15
3088465,IR10F559,IR 88228-33-3-5-2,IR 80410-B-197-4/IRRI 149//IRRI 146,F3665,542,F2117,2,1,2,34,86,116,113,12,12.5,7642,,,10285,3,1,7,3,2013-04-12
3408619,CR1009,CR 1009,PANKAIJ/JAGANNATH,F3691,543,F2165,2,1,2,33,105,135,111,14,13.8,6939,,,9200,0,7,9,9,2013-04-29
3158963,IR11N328,IR 88723-21-1-3-1,IR01N110/IRRI 146,B3624,544,B3090,2,1,2,32,89,119,96,17,13,5818,1,5849,7827,3,1,5,5,2013-04-12
1402065,IR05A260,IR 79637-2-3-2-1,IR 72875-94-3-3-2/IR 72903-121-2-1-2,A3457,545,A2801,2,1,2,31,88,118,92,13,13.7,6360,,,8442,4,1,5,5,2013-04-10
2432761,IR09N507,IR 83317-54-1-2-3,IR 69428-6-1-1-3-3/IR 64,B3585,546,B2978,2,1,2,30,89,119,97,20,11.6,5965,,,8110,1,1,5,5,2013-04-10
1837987,IR06M134,IR 80475-B-B-19-2,IR 71684-36-3-3-2/CAVITENIA,M3672,547,M2835,2,1,2,29,89,119,99,16,12.7,6843,6,7067,9490,0,1,7,5,2013-04-15
3023039,IR11A334,IR 87535-124-3-1-3,IR04A427/IRRI 115,A3505,548,A3110,2,1,2,28,95,125,114,17,12.6,7220,1,7258,9757,3,1,7,7,2013-04-15
2858797,IR10A267,IR 86192-137-2-2-3,IR02A483/IR BB 60-1,A3488,549,A2763,2,1,2,27,83,113,98,21,12,5946,,,8048,0,1,5,3,2013-04-10
3522950,IR12N267,IR 91057-54-2-1-2,IR04A427/IRRI 146,B3654,550,A5519,2,1,2,26,94,124,110,17,13.5,7164,1,7202,9582,3,1,7,5,2013-04-13
2853229,IR09F437,IR 94602-273-98,IRRI 105*2/IRRI 149,F3696,551,F2174,2,1,3,26,90,120,110,16,12.8,6065,,,8134,0,1,9,5,2013-04-12
3425965,IR12A329,IR 91051-102-1-2-2,IRRI 154/BR 29,A3538,552,A5450,2,1,3,27,98,128,123,11,11,7404,2,7483,10244,0,1,9,5,2013-04-20
2525013,IR09N260,IR 83838-16-2-1-2,IR00A117/IR 73707-45-3-2-3,B3577,553,B3169,2,1,3,28,98,128,113,11,12,6633,,,8978,4,1,3,3,2013-04-25
